bee_id,class,bounding_box_top_left_0,bounding_box_bottom_right_0,bounding_box_top_left_1,bounding_box_bottom_right_1,bounding_box_top_left_2,bounding_box_bottom_right_2,bounding_box_top_left_3,bounding_box_bottom_right_3,bounding_box_top_left_4,bounding_box_bottom_right_4bounding_box_top_left_5,bounding_box_bottom_right_5,bounding_box_top_left_6,bounding_box_bottom_right_6
2017-09-01_10-54-26.mp4-bee_id_7741-15-1.png,1,84.0,143.0,109.0,172.0,54.0,142.0,82.0,172.0,,,,,
2017-09-01_10-54-26.mp4-bee_id_7742-15-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7743-390-1.png,1,92.0,115.0,133.0,149.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7744-390-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7745-810-1.png,1,101.0,115.0,132.0,154.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7746-810-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7750-1470-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7751-1500-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7752-1560-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7753-1875-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7754-2355-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7755-2385-1.png,1,81.0,76.0,113.0,103.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7756-2535-1.png,2,86.0,102.0,116.0,141.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7757-2625-1.png,2,75.0,107.0,102.0,137.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7758-3120-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7759-3135-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7760-3330-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7761-3345-1.png,1,80.0,85.0,116.0,123.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7763-3810-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7764-4320-1.png,1,46.0,151.0,87.0,188.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7765-4575-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7766-4590-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7767-4845-1.png,1,59.0,159.0,88.0,187.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7768-4950-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7769-5025-1.png,2,42.0,146.0,69.0,175.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7770-5190-1.png,2,91.0,156.0,117.0,180.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7772-5265-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7773-5280-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7774-5295-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7775-5310-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7776-5445-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7777-5520-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7778-5700-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7779-6225-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7780-6270-1.png,1,80.0,97.0,110.0,123.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7781-6285-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7782-6345-1.png,1,78.0,104.0,107.0,124.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7783-6360-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7784-6420-1.png,0,,,,,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7785-7005-1.png,1,61.0,148.0,94.0,174.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7786-7020-1.png,2,51.0,144.0,85.0,174.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7787-7140-1.png,2,66.0,100.0,98.0,125.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7788-7155-1.png,2,80.0,100.0,103.0,128.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7789-7620-1.png,1,47.0,143.0,68.0,167.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7790-7635-1.png,2,45.0,143.0,69.0,173.0,,,,,,,,,
2017-09-01_10-54-26.mp4-bee_id_7791-7710-1.png,2,34.0,152.0,59.0,173.0,,,,,,,,,
